"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Mara Weekly Planner 18-Month | Weekly View Vertical Layout · July 2026 to December 2027 | Blue · International - Week-to-view diary","B0GJSYLDLW","B0GJSYLDLW","Finocam","Agenda","22903000","33","0","24.98","0.00","2","0","12.49","0","6.1","0"
"Finocam Mínimal Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Girl · International - Week-to-view diary","B0GJT4J9FN","B0GJT4J9FN","Finocam","Agenda","22903000","30","0","24.08","0.00","2","0","12.04","0","6.7","0"
"Finocam Mara Daily Planner 18-Month | 1 Day per Page · July 2026 to December 2027 | Daisy · International - Day-to-page diary","B0GJT2N36W","B0GJT2N36W","Finocam","Agenda","22903000","43","0","16.96","0.00","1","0","16.96","0","2.3","0"
"Finocam Espiral Planner 18-Month | 2 Days per Page · July 2026 to December 2027 | Pretty · International - Day-to-page diary","B0GJT3X9FM","B0GJT3X9FM","Finocam","Agenda","22903000","18","0","14.64","0.00","1","0","14.64","0","5.6","0"
"Finocam Mínimal Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Pretty · International - Week-to-view diary","B0GJT8HNSX","B0GJT8HNSX","Finocam","Agenda","22903000","14","0","14.05","0.00","1","0","14.05","0","7.1","0"
"Finocam - Agenda 2022 2023 Espiral 18 maanden horizontale weekweergave juli 2022 - december 2023 (18 maanden) Geometric Internationaal","B09QX3C7XH","B09QX3C7XH","Finocam","Agenda","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2022 2023 Mara 18 maanden verticale weekweergave juli 2022 - december 2023 (18 maanden) Zwart Internationaal","B09QX5KJ4M","B09QX5KJ4M","Finocam","22903202","22903000","1","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2022 2023 Espiral 18 maanden horizontale weekweergave juli 2022 - december 2023 (18 maanden) Zwart Internationaal","B09QXBBXNF","B09QXBBXNF","Finocam","Agenda","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2022 2023 Minimal 18 maanden horizontale weekweergave juli 2022 - december 2023 (18 maanden) Girl Internationaal","B09QXFL9K2","B09QXFL9K2","Finocam","22903202","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2022 2023 Minimal 18 maanden horizontale weekweergave juli 2022 - december 2023 (18 maanden) Geometric Internationaal","B09QXLRQWH","B09QXLRQWH","Finocam","22903202","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2022 2023 Mara 18 maanden 1 dag per pagina juli 2022 - december 2023 (18 maanden) Zwart Internationaal","B09R1VRXR7","B09R1VRXR7","Finocam","22903202","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2022 2023 Ikon 16 maanden 1 dag per pagina september 2022 - december 2023 (16 maanden) Zwart Internationaal","B09R1WLHHF","B09R1WLHHF","Finocam","22903202","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Kalender 2023 Design wandformaat Internationaal januari 2023 - december 2023 (12 maanden) Floral","B0B1Q9DMGM","B0B1Q9DMGM","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2023 dagweergave spiraal Opaque januari 2023 - december 2023 (12 maanden) Bordeaux Internationaal","B0B1QBT3CX","B0B1QBT3CX","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Kalender 2023 afbeeldingen bureauformaat Internationaal januari 2023 - december 2023 (12 maanden) Traveling","B0B1QBVFMF","B0B1QBVFMF","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2023 dagweergave spiraal Opaque januari 2023 - december 2023 (12 maanden) Roze Internationaal","B0B1QCWQ2Z","B0B1QCWQ2Z","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Kalender 2023 afbeeldingen bureauformaat Internationaal januari 2023 - december 2023 (12 maanden) Nature","B0B1QCZG7G","B0B1QCZG7G","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2023 weekweergave spiraal You International januari 2023 - december 2023 (12 maanden) Cotton internationaal","B0B1QD2C4B","B0B1QD2C4B","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2023 weekweergave Dotted Optimal januari 2023 - december 2023 (12 maanden) Turquoise Internationaal","B0B1ZZB7PS","B0B1ZZB7PS","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2023 dagweergave Dotted Link januari 2023 - december 2023 (12 maanden) Zwart Internationaal","B0B215TSSW","B0B215TSSW","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Mínimal 18 maanden 2023 2024 horizontale weekweergave juli 2023 - december 2024 (18 maanden) Girl internationaal","B0BS48V3XG","B0BS48V3XG","Finocam","Agenda","22903000","7","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Dotted 16 maanden 2023 2024 horizontale weekweergave september 2023 - december 2024 (16 maanden) Monstera internationaal","B0BS4921GR","B0BS4921GR","Finocam","Agenda","22903000","7","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Ongedateerde agenda Mytime 1 dag per pagina internationaal","B0BS4996B7","B0BS4996B7","Finocam","Agenda","22903000","7","2","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Ikon 16 maanden 2023 2024 verticale weekweergave september 2023 - december 2024 (16 maanden) bruin internationaal","B0BS49FPQ9","B0BS49FPQ9","Finocam","Agenda","22903000","6","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Inspire","B0BS49GX1M","B0BS49GX1M","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Love","B0BS49LT3X","B0BS49LT3X","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Modern Dotted-gestippeld zwart","B0BS49LT52","B0BS49LT52","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Lion","B0BS49LT5W","B0BS49LT5W","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Modern Dotted-gestippeld blauw","B0BS49M3XT","B0BS49M3XT","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Mountain","B0BS49MYMW","B0BS49MYMW","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Butterfly","B0BS49NWVQ","B0BS49NWVQ","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Flamingo","B0BS49PK6T","B0BS49PK6T","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Ongedateerde agenda Mytime verticale weekweergave internationaal","B0BS49SS5T","B0BS49SS5T","Finocam","Agenda","22903000","20","6","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Modern Dotted-gestippeld blauw","B0BS49WDNV","B0BS49WDNV","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Espiral 18 maanden 2023 2024 horizontale weekweergave juli 2023 - december 2024 (18 maanden) Lady internationaal","B0BS4B1NKG","B0BS4B1NKG","Finocam","Agenda","22903000","6","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Inspire","B0BS4B26MZ","B0BS4B26MZ","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Mountain","B0BS4B2816","B0BS4B2816","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Flamingo","B0BS4B2WT1","B0BS4B2WT1","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Lion","B0BS4B3BCH","B0BS4B3BCH","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Mínimal 18 maanden 2023 2024 horizontale weekweergave juli 2023 - december 2024 (18 maanden) Pretty internationaal","B0BS4B89CG","B0BS4B89CG","Finocam","Agenda","22903000","7","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Espiral 18 maanden 2023 2024 2 dagen per pagina juli 2023 - december 2024 (18 maanden) Lady internationaal","B0BS4BB9X3","B0BS4BB9X3","Finocam","Agenda","22903000","6","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Modern Dotted-gestippeld rood","B0BS4BG64X","B0BS4BG64X","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Ikon 16 maanden 2023 2024 1 dag per pagina september 2023 - december 2024 (16 maanden) bruin internationaal","B0BS4BJ726","B0BS4BJ726","Finocam","Agenda","22903000","40","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Dotted 16 maanden 2023 2024 horizontale weekweergave september 2023 - december 2024 (16 maanden) Bloom internationaal","B0BS4BJQMZ","B0BS4BJQMZ","Finocam","Agenda","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Mara 18 maanden 2023 2024 verticale weekweergave juli 2023 - december 2024 (18 maanden) Lady internationaal","B0BS4BM5SS","B0BS4BM5SS","Finocam","Agenda","22903000","7","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Espiral 18 maanden 2023 2024 horizontale weekweergave juli 2023 - december 2024 (18 maanden) Girl internationaal","B0BS4BMRLJ","B0BS4BMRLJ","Finocam","Agenda","22903000","11","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Design effen Love","B0BS4BW355","B0BS4BW355","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Modern Dotted-gestippeld rood","B0BS4C2KF3","B0BS4C2KF3","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Modern Dotted-gestippeld roze","B0BS4C2SS9","B0BS4C2SS9","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notitieboek Flexi Modern Dotted-gestippeld roze","B0BS4C3C1R","B0BS4C3C1R","Finocam","Papierproducten","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Ikon 16 maanden 2023 2024 verticale weekweergave september 2023 - december 2024 (16 maanden) Fiori internationaal","B0BS4CDNXD","B0BS4CDNXD","Finocam","Agenda","22903000","11","0","0.00","0.00","0","0","0.00","0","0","0"
